Név,Email,Pontszám,Regisztráció,VásárlásokSzáma,UtolsóVásárlás,ÖsszesKöltés,HaviPontnövekedés
Jenő,jatekos.jeno@game.hu,5000,2023-01-15,3,2023-04-20 14:32:10,4500,200
Zsófia,jatekos.zsofia@game.hu,12000,2022-11-10,5,2023-05-01 10:15:00,6000,300
László,jatekos.laszlo@game.hu,8000,2023-02-20,2,2023-04-18 09:00:00,3000,150
Katalin,jatekos.katalin@game.hu,0,2022-12-05,0,,0,0
Béla,jatekos.bela@game.hu,15000,2023-03-10,7,2023-05-02 16:45:00,12000,400
Ágnes,jatekos.agnes@game.hu,3000,2023-01-25,1,2023-04-22 12:00:00,1500,100
Gábor,jatekos.gabor@game.hu,22000,2022-10-30,8,2023-05-03 18:20:00,20000,500
Dávid,jatekos.david@game.hu,500,2023-04-01,0,,0,0
Eszter,jatekos.eszter@game.hu,9500,2023-02-10,4,2023-04-25 11:30:00,4000,150
Balázs,jatekos.balazs@game.hu,11000,2023-01-05,6,2023-04-30 14:00:00,8000,250
Rita,jatekos.rita@game.hu,6000,2023-03-20,2,2023-04-28 09:45:00,5500,200
Péter,jatekos.peter@game.hu,4000,2023-02-25,1,2023-04-21 13:00:00,3500,100
Ilona,jatekos.ilona@game.hu,13000,2022-09-15,3,2023-05-01 08:30:00,10000,350
Zoltán,jatekos.zoltan@game.hu,7500,2023-03-05,4,2023-04-29 17:00:00,7000,200
Csaba,jatekos.csaba@game.hu,9000,2023-02-12,5,2023-04-27 10:10:00,8500,220
Emese,jatekos.emese@game.hu,16000,2022-11-25,8,2023-05-02 15:30:00,14000,400
András,jatekos.andras@game.hu,7000,2023-01-18,2,2023-04-20 16:00:00,6500,180
Erika,jatekos.erika@game.hu,2000,2023-03-30,1,2023-04-23 12:20:00,1500,120
Miklós,jatekos.miklos@game.hu,25000,2022-08-05,10,2023-05-03 19:00:00,23000,600
Virág,jatekos.virag@game.hu,3500,2023-02-28,1,2023-04-24 11:15:00,3000,100
Levente,jatekos.levente@game.hu,18000,2023-01-12,6,2023-05-01 14:50:00,17000,300
Anikó,jatekos.aniko@game.hu,0,2023-03-22,0,,0,0
Zsombor,jatekos.zsombor@game.hu,14000,2022-12-18,7,2023-05-02 12:40:00,13000,350
Mária,jatekos.maria@game.hu,8000,2023-01-30,3,2023-04-26 15:25:00,7500,200
Norbert,jatekos.norbert@game.hu,9500,2023-02-05,4,2023-04-21 09:00:00,9000,180
Judit,jatekos.judit@game.hu,12000,2022-10-20,5,2023-05-01 10:00:00,11000,250
Attila,jatekos.attila@game.hu,4000,2023-03-12,2,2023-04-22 08:45:00,3500,150
Ildikó,jatekos.ildiko@game.hu,6000,2023-01-28,3,2023-04-27 14:10:00,5500,200
Roland,jatekos.roland@game.hu,5000,2023-02-14,2,2023-04-23 16:00:00,4800,180
Orsolya,jatekos.orsolya@game.hu,17000,2022-11-05,6,2023-05-02 17:30:00,16000,400
Ferenc,jatekos.ferenc@game.hu,23000,2023-01-08,7,2023-04-30 12:30:00,21000,500
Ádám,jatekos.adam@game.hu,8000,2023-03-03,3,2023-04-25 09:50:00,7500,220
Beáta,jatekos.beata@game.hu,4500,2023-02-22,1,2023-04-21 11:10:00,4000,150
Gergely,jatekos.gergely@game.hu,13000,2022-12-12,4,2023-05-01 13:00:00,12000,300
Csilla,jatekos.csilla@game.hu,7000,2023-01-20,2,2023-04-23 10:30:00,6500,180
Sándor,jatekos.sandor@game.hu,9000,2023-03-15,3,2023-04-28 14:20:00,8500,220
Klára,jatekos.klara@game.hu,11000,2022-11-30,5,2023-05-02 16:00:00,10000,300
Márton,jatekos.marton@game.hu,9500,2023-01-10,2,2023-04-21 12:10:00,9000,180
Fanni,jatekos.fanni@game.hu,500,2023-02-18,0,,0,0
Tivadar,jatekos.tivadar@game.hu,24000,2023-03-08,6,2023-05-03 18:00:00,22000,500
Enikő,jatekos.eniko@game.hu,10000,2023-01-22,4,2023-04-26 15:00:00,9500,250
Márta,jatekos.marta@game.hu,8000,2022-10-28,3,2023-05-01 11:30:00,7500,200
Lili,jatekos.lili@game.hu,6000,2023-02-07,2,2023-04-22 13:40:00,5500,150
Tibor,jatekos.tibor@game.hu,14000,2023-01-12,5,2023-04-27 16:00:00,13000,300
Zita,jatekos.zita@game.hu,7500,2023-03-02,2,2023-04-24 10:20:00,7000,180
Viktor,jatekos.viktor@game.hu,17000,2022-12-01,4,2023-05-02 14:40:00,16000,350
Ágota,jatekos.agota@game.hu,3000,2023-02-25,1,2023-04-23 09:30:00,2500,100
Richárd,jatekos.richard@game.hu,22000,2023-01-05,7,2023-04-30 17:15:00,21000,400
Edit,jatekos.edit@game.hu,4000,2023-03-18,2,2023-04-25 11:00:00,3500,150
Olivér,jatekos.oliver@game.hu,13000,2023-02-15,3,2023-04-28 12:45:00,12000,300
